id,user_id,text,retweet_count,posted_at
1,18,RT @gilbertosalinas: En cc.Las Trinitarias bqto hoy y ma??ana Stand pro fondos de @ACLAVE  Orgullosos Auspiciantes de??? https://t.co/QeEb8ts2???,1,2017-03-18 18:58:33 +0000
2,18,Hoy en cc trinitarias vendiendo los productos del taller laboral. Compra y as?? colaboras https://t.co/syBigmOTN8,7,2017-03-18 16:38:39 +0000
3,18,El mejor regalo hoy y manana...vente a Cc Trinitarias. Es la primera expoventa del Taller??? https://t.co/C45p2Cur36,0,2017-03-18 17:11:44 +0000
4,18,agradecidos con la donaci??n de meds de  @mauxibe  pues es con  ACCIONES  que podemos mejorar las cosas...,2,2017-03-17 21:11:55 +0000
5,18,"RT @sobramarmed: LA PLUMA, EL PAPEL, EL REBA?'O Y UNA PREGUNTA #SOSVZLA@omarbula@geopolytica@belkis_coeurs@LibertadChile1@Soniatalero_???",55,2017-03-18 11:49:44 +0000
6,18,Hoy sabado y manana domingo 19 estamos en el cc Trinitarias con la primera expoventa de productos logrados en el... https://t.co/2mynD5cPVz,1,2017-03-18 17:05:35 +0000
7,18,3 horas caido movistar en barquisimeto...de vuelta al fin,0,2017-03-18 16:35:57 +0000
8,18,RT @sobramarmed: #SOSVZLA INDIFERENCIA@ACLAVE@omarbula@_Noel_Pereira2 @belkis_coeurs@dejanirasilveir@Fridasu @geopolytica@ComoVeoAV???,91,2017-03-17 20:59:04 +0000
9,18,"RT @osmarycnn: #CNNEE20 es Innovaci??n, credibilidad, pasi??n y compromiso. Seguimos contando la historia reciente de Venezuela https://t.co/???",78,2017-03-17 21:01:17 +0000
10,18,Hoy S?!bado 18 y ma??ana Domingo 19 estaremos en CC Trinitarias Vendidendo los productos elaborados en el Taller... https://t.co/IIzJbb2dcA,3,2017-03-18 11:44:12 +0000
11,18,"RT @AnonMundial: ??""?17/03 Disponible en #Donaci??n DOCETAXEL 80 mg ??""?02129503200 contacto??'???è? @SAnticancerosa ??""?#Caracas https://t.co/8NWMfr5Xu0",42,2017-03-17 20:16:14 +0000
12,18,y como dir??a Cerati...despiertame cuando pase el temblor...pues o andaba en el vw o tiemblo tanto al caminar que ni lo sent??,0,2017-03-17 21:02:44 +0000
13,18,"RT @palindromica: Quincena de una colega, jefe de servicio, especialista uno! Hospital Central de Maracay. Adem?!s es docente. @nahunmilano???",32,2017-03-17 20:15:42 +0000
14,18,RT @EstacionRockON: Es #Viernes y lo sabes!#FridayRocks HOY #EstacionRock2 horas con todas las ??pocas de la??? https://t.co/9DNIIzwfze,1,2017-03-17 15:28:05 +0000
15,18,RT @aleidabaez: @zizou7310 @aconvida16 @fundatiacruz @FundLasDanielas @SacudeteMaracay @DonaMed_VE @laventanita_vzl @ACLAVE https://t.co/0a???,13,2017-03-17 15:41:17 +0000
16,18,RT @sobramarmed: #SOSVZLA SOCIALISMO DEL XXI. @AnonMundial@omarbula@_Noel_Pereira2@belkis_coeurs@ComoVeoAVnzla@dejanirasilveir@Frida???,79,2017-03-17 01:31:49 +0000
